"course","section","required","title","author","edition","isbn"
"COMM 1317","07","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 1317","08","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

"COMM 1317","08","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 1317","09","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

"COMM 1317","09","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 1317","10","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

"COMM 1317","10","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 2302","01","REQUIRED","COMMUNICATION THEORIES IN ACTION","WOOD","3RD 04","9780534566395"

"COMM 2302","02","REQUIRED","COMMUNICATION THEORIES IN ACTION","WOOD","3RD 04","9780534566395"

"COMM 2302","03","REQUIRED","COMMUNICATION THEORIES IN ACT.-STD.COMP","WOOD","3RD 03","9780534566418"

"COMM 2307","01","REQUIRED","TAKING SIDES:...MASS MEDIA+SOCIETY","ALEXANDER","12TH 13","9780078050411"

"COMM 2307","02","REQUIRED","TAKING SIDES:...MASS MEDIA+SOCIETY","ALEXANDER","12TH 13","9780078050411"

"COMM 2307","03","REQUIRED","TAKING SIDES:...MASS MEDIA+SOCIETY","ALEXANDER","13TH 14","9780078050428"

"COMM 2312","01","REQUIRED","INTERPERSONAL COMMUNICATION BOOK","DEVITO","13TH 13","9780205031085"

"COMM 2312","02","REQUIRED","INTERPERSONAL COMMUNICATION BOOK","DEVITO","13TH 13","9780205031085"

"COMM 2312","03","REQUIRED","INTERPERSONAL COMMUNICATION BOOK","DEVITO","13TH 13","9780205031085"

"COMM 2320","01","REQUIRED","PRESENTATIONZEN","REYNOLDS","2ND 12","9780321811981"

"COMM 2320","01","REQUIRED","SLIDE:OLOGY:ART+SCIENCE OF CREATING...","DUARTE","08","9780596522346"

"COMM 2320","02","REQUIRED","PRESENTATIONZEN","REYNOLDS","2ND 12","9780321811981"

"COMM 2320","02","REQUIRED","SLIDE:OLOGY:ART+SCIENCE OF CREATING...","DUARTE","08","9780596522346"

"COMM 2321","01","REQUIRED","GENDERED LIVES:COMMUN.,GENDER,+CULTURE","WOOD","10TH 13","9781111346485"

"COMM 2326","01","REQUIRED","PERSUASION:SOC.INFLUENCE...-TEXT","GASS","5TH 14","9780205912964"

"COMM 2327","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COMM 2399","01","REQUIRED","APPLE PRO TRAIN...FINAL CUT PRO 7-W/CD","WEYNAND","10","9780321635273"

"COMM 2399","01","REQUIRED","GRAMMAR OF THE EDIT","BOWEN","3RD 13","9780240526003"

"COMM 2399","01","REQUIRED","GRAMMAR OF THE SHOT:MEDIA MANUAL","BOWEN","3RD 13","9780240526010"

"COMM 3301","01","REQUIRED","CONDUCTING RESEARCH:SOCIAL+BEHAVIORAL","ORCHER","05","9781884585609"

"COMM 3301","02","REQUIRED","CONDUCTING RESEARCH:SOCIAL+BEHAVIORAL","ORCHER","05","9781884585609"

"COMM 3332","01","REQUIRED","M:ADVERTISING(W/REVIEW CARDS)-TEXT","ARENS","12","9780078028915"

"COMM 3332","02","REQUIRED","M:ADVERTISING(W/REVIEW CARDS)-TEXT","ARENS","12","9780078028915"

"COMM 3333","01","REQUIRED","RHETORICAL CRITICISM","FOSS","4TH 08","9781577665861"

"COMM 3333","02","REQUIRED","RHETORICAL CRITICISM","FOSS","4TH 08","9781577665861"

"COMM 3333","03","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COMM 3337","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COMM 3337","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COMM 3344","01","REQUIRED","CULTURES+ORGANIZATIONS","HOFSTEDE","3RD 10","9780071664189"

"COMM 3344","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COMM 3344","03","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COMM 3346","01","REQUIRED","FAMILY COMMUNICATION","GALVIN","8TH 12","9780205718931"

"COMM 3360","01","REQUIRED","HEY WHIPPLE,SQUEEZE THIS","SULLIVAN","4TH 12","9781118101339"

"COMM 3360","02","REQUIRED","HEY WHIPPLE,SQUEEZE THIS","SULLIVAN","4TH 12","9781118101339"

"COMM 4315","01","REQUIRED","FILM ART-TEXT","BORDWELL","10TH 13","9780073535104"

"COMM 4319","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COMM 4323","01","REQUIRED","FEMINISM IS FOR EVERYBODY","HOOKS","00","9780896086289"

"COMM 4323","01","REQUIRED","HALF THE SKY","KRISTOF","09","9780307387097"

"COMM 4323","01","REQUIRED","INTERSECTIONS OF GENDER,RACE,+CLASS","SEGAL","07","9780195330670"

"COMM 4338","01","REQUIRED","BRONZE SCREEN","FREGOSO","93","9780816621361"

"COMM 4338","01","REQUIRED","CELLULOID INDIANS","KILPATRICK","99","9780803277908"

"COMM 4338","01","REQUIRED","MAKING THE WHITE MAN'S INDIAN","ALEISS","05","9780313361333"

"COMM 4338","01","REQUIRED","REBEL WITHOUT A CREW","RODRIGUEZ","95","9780452271876"

"COMM 4338","01","REQUIRED","SMOKE SIGNALS","ALEXIE","98","9780786883929"

"COMM 4350","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COMM 4399","01","REQUIRED","DOCUMENTARY,REVISED ED.","BARNOUW","2ND 93","9780195078985"

"COMM 4399","01","REQUIRED","INTRO.TO DOCUMENTARY","NICHOLS","2ND 10","9780253222602"

"COMM 4399","02","REQUIRED","LYING+DECEPTION IN HUMAN INTERACTION","KNAPP","08","9780205580644"

"COSC 1123","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COSC 1123","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COSC 1123","03","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COSC 1301","01","REQUIRED","COMPUTER SCIENCE ILLUMINATED-W/ACCESS","DALE","5TH 13","9781449672843"

"COSC 1301","03","REQUIRED","COMPUTER SCIENCE ILLUMINATED-W/ACCESS","DALE","5TH 13","9781449672843"

"COSC 1301","04","REQUIRED","COMPUTER SCIENCE ILLUMINATED-W/ACCESS","DALE","5TH 13","9781449672843"

"COSC 1318","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COSC 1318","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COSC 1318","03","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COSC 1318","04","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COSC 1323","01","REQUIRED","BUILDING JAVA PROGRAMS","REGES","3RD 14","9780133360905"

"COSC 1323","02","REQUIRED","BUILDING JAVA PROGRAMS","REGES","3RD 14","9780133360905"

"COSC 3325","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COSC 3327","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COSC 3335","01","REQUIRED","INFORMATION STORAGE+MANAGEMENT","EMC EDUCATION","2ND 12","9781118094839"

"COSC 3336","01","REQUIRED","CONCEPTS OF PROGRAMMING LANGUAGES","SEBESTA","10TH 13","9780131395312"

"COSC 4359","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CPAM 1110","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CPAM 1110","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CRIJ 1302","01","REQUIRED","PROCEDURES IN THE JUSTICE SYSTEM","ROBERSON","10TH 13","9780132705844"

"CRIJ 1302","02","REQUIRED","PROCEDURES IN THE JUSTICE SYSTEM","ROBERSON","10TH 13","9780132705844"

"CRIJ 1310","01","REQUIRED","CONTEMPORARY CRIMINAL LAW","LIPPMAN","3RD 12","9781452230023"

"CRIJ 2326","01","REQUIRED","DRUGS,SOCIETY,+HUMAN BEHAVIOR","HART","15TH 13","9780073529745"

"CRIJ 2328","01","REQUIRED","INTRO.TO POLICING","DEMPSEY","7TH 14","9781133594703"

"CRIJ 2340","01","REQUIRED","INTERVENTION,TREATMENT+RECOVERY","PHELPS","13","9781465213860"

"CRIJ 3313","01","REQUIRED","AMERICAN CORRECTIONS","CLEAR","10TH 13","9781133049739"

"CRIJ 3313","01","REQUIRED","BEHIND BARS:SURVIVING PRISON","ROSS","02","9780028643519"

"CRIJ 3323","01","REQUIRED","CRIMINAL PROCED.:FROM FIRST CONT..","WORRALL","4TH 12","9780132705868"

"CRIJ 4339","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CRIJ 4341","01","REQUIRED","INTRO.TO COMPARATIVE LEGAL MODELS...","ROBERSON","08","9781420065923"

"CRIJ 4350","01","REQUIRED","CRIMINAL JUSTICE INTERNSHIPS:THEORY...","GORDON","7TH 11","9781437735024"

"CRIJ 4650","01","REQUIRED","CRIMINAL JUSTICE INTERNSHIPS:THEORY...","GORDON","7TH 11","9781437735024"

"CRIM 2326","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CRIM 3331","01","REQUIRED","VICTIM","KINDER","99","9780871137357"

"CRIM 3331","01","REQUIRED","VICTIMOLOGY","WALLACE","3RD 11","9780135071571"

"CRIM 3336","01","REQUIRED","CRIMINOLOGY TODAY","SCHMALLEGER","6TH 12","9780137074853"

"CRIM 4349","01","REQUIRED","FAMILY VIOLENCE","WALLACE","6TH 11","9780205679706"

"CRIM 4349","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CRIM 4350","01","REQUIRED","CRIMINAL JUSTICE INTERNSHIPS:THEORY...","GORDON","7TH 11","9781437735024"

"CRIM 4650","01","REQUIRED","CRIMINAL JUSTICE INTERNSHIPS:THEORY...","GORDON","7TH 11","9781437735024"

"CULF 1318","01","REQUIRED","GOODBYE COLUMBUS+FIVE SHORT STORIES","ROTH","93","9780679748267"

"CULF 1318","01","REQUIRED","RED TENT-10TH ANNIVERSARY EDITION","DIAMANT","(REV)07","9780312427290"

"CULF 1318","01","REQUIRED","SOUL OF THE TEXT","GREAT BOOKS","00","9781880323847"

"CULF 1318","02","REQUIRED","ABENG","CLIFF","84","9780452274839"

"CULF 1318","02","REQUIRED","COLONIZER+THE COLONIZED-EXPANDED","MEMMI","91","9780807003015"

"CULF 1318","02","REQUIRED","SMALL PLACE","KINCAID","88","9780374527075"

"CULF 1318","02","REQUIRED","TEMPEST","SHAKESPEARE","04","9780393978193"

"CULF 1318","02","REQUIRED","TEMPEST","CESAIRE","(REV)92","9781559362108"

"CULF 1318","02","REQUIRED","WIDE SARGASSO SEA (LARGE FORMAT)","RHYS","99","9780393960129"

"CULF 1318","03","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 1318","04","REQUIRED","ADVENTURES OF SHERLOCK HOLMES","DOYLE","11","9780062085740"

"CULF 1318","04","REQUIRED","BIG SLEEP+FAREWELL,MY LOVELY","CHANDLER","95","9780679601401"

"CULF 1318","04","REQUIRED","BODY IN THE LIBRARY","CHRISTIE","0","9780062073617"

"CULF 1318","04","REQUIRED","CRIME+PUNISHMENT","DOSTOYEVSKY","91","9780140449136"

"CULF 1318","04","REQUIRED","NEW YORK TRILOGY","AUSTER","06","9780143039839"

"CULF 1318","05","REQUIRED","GOLDEN ASS","APULEIUS","13","9780300198140"

"CULF 1318","05","REQUIRED","ROMANCE OF TRISTAN","BEROUL","70","9780140442304"

"CULF 1318","05","REQUIRED","SONG OF SONGS","BLOCH","06","9780812976205"

"CULF 1318","06","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 1318","07","REQUIRED","DRACULA","STOKER","97","9780393970128"

"CULF 1318","07","REQUIRED","HEART OF DARKNESS(+CONGO DIARY)","CONRAD","07","9780141441672"

"CULF 1318","07","REQUIRED","LOVER","DURAS","97","9780375700521"

"CULF 1318","07","REQUIRED","MAN WHO WOULD BE KING","KIPLING","11","9780141442358"

"CULF 1318","07","REQUIRED","ORPHEUS+EURYDICE","ORR","01","9781556591518"

"CULF 1318","07","REQUIRED","RAMAYANA","NARAYAN","06","9780143039679"

"CULF 1318","08","REQUIRED","ANGELS IN AMERICA,PT.ONE:MILLENNIUM...","KUSHNER","93","9781559360616"

"CULF 1318","08","REQUIRED","ARISTOTLE+DANTE DISCOVER SECRETS OF...","SAENZ","12","9781442408920"

"CULF 1318","08","REQUIRED","FUN HOME:FAMILY TRAGICOMIC","BECHDEL","06","9780618871711"

"CULF 1318","08","REQUIRED","MAURICE","FORSTER","(2ND)93","9780393310320"

"CULF 1318","09","REQUIRED","ASIAN AMERICAN POETRY","CHANG","04","9780252071744"

"CULF 1318","09","REQUIRED","CHARLIE CHAN IS DEAD 2","HAGEDORN","04","9780142003909"

"CULF 1318","09","REQUIRED","CHICKENCOOP CHINAMAN:YEAR OF THE DRAGON","CHIN","81","9780295958330"

"CULF 1318","09","REQUIRED","STRANGERS FROM A DIFFERENT SHORE-UPD.","TAKAKI","REV 98","9780316831307"

"CULF 1318","09","REQUIRED","WOMAN WARRIOR (LARGE FORMAT)","KINGSTON","76","9780679721888"

"CULF 1318","10","REQUIRED","AUTOBIOGRAPHY OF MALCOLM X","MALCOLM X","65","9780345350688"

"CULF 1318","10","REQUIRED","COMING OF AGE IN MISSISSIPPI","MOODY","68","9780385337816"

"CULF 1319","01","REQUIRED","DOCUMENTARY","STALLABRASS","13","9780262518291"

"CULF 1319","02","REQUIRED","ART HISTORY,PORTABLE ED.-BK.6","STOKSTAD","3RD 09","9780136054092"

"CULF 1319","03","REQUIRED","DESIGN+ART","COLES","07","9780262532891"

"CULF 1319","04","REQUIRED","ART HISTORY,PORTABLE ED.-BK.6","STOKSTAD","3RD 09","9780136054092"

"CULF 1319","05","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 1319","06","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 1319","07","REQUIRED","CULTURE COURSEPACK","MICHAEL MASSEY","0","000000000000"

"CULF 1319","08","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 1319","09","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 1319","10","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 1320","01","REQUIRED","NARR.OF LIFE OF F.DOUGLASS","DOUGLASS","95","9780486284996"

"CULF 1320","01","REQUIRED","VISIONS OF AMERICA,COMBINED","KEENE","2ND 13","9780205092666"

"CULF 1320","02","REQUIRED","VISIONS OF AMERICA,COMBINED","KEENE","2ND 13","9780205092666"

"CULF 1320","03","REQUIRED","VISIONS OF AMERICA,COMBINED","KEENE","2ND 13","9780205092666"

"CULF 1320","04","REQUIRED","GIVE ME LIBERTY,SEAGULL ED.-SINGLE VOL.","FONER","3RD 12","9780393911893"

"CULF 1320","05","REQUIRED","NARR.OF LIFE OF F.DOUGLASS","DOUGLASS","95","9780486284996"

"CULF 1320","05","REQUIRED","VISIONS OF AMERICA,COMBINED","KEENE","2ND 13","9780205092666"

"CULF 1320","06","REQUIRED","GIVE ME LIBERTY,SEAGULL ED.-SINGLE VOL.","FONER","3RD 12","9780393911893"

"CULF 1320","07","REQUIRED","VISIONS OF AMERICA,COMBINED","KEENE","2ND 13","9780205092666"

"CULF 1320","09","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 2321","01","REQUIRED","SOCIAL PROBLEMS","EITZEN","13TH 14","9780205881888"

"CULF 2321","02","REQUIRED","SOCIAL PROBLEMS-TEXT","MACIONIS","5TH 13","9780205881390"

"CULF 2321","03","REQUIRED","RACE,CLASS,+GENDER IN THE UNITED STATES","ROTHENBERG","9TH 14","9781429242172"

"CULF 2321","04","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 2321","05","REQUIRED","SOCIAL PROBLEMS-W/MYSOCLAB ACCESS","EITZEN","13TH 14","9780205949182"

"CULF 2321","06","REQUIRED","COLD ANGER","ROGERS","90","9780929398136"

"CULF 2321","06","REQUIRED","RULES FOR RADICALS (LARGE FORMAT)","ALINSKY","71","9780679721130"

"CULF 2321","06","REQUIRED","SOCIAL PROBLEMS-TEXT","MACIONIS","5TH 13","9780205881390"

"CULF 2321","07","REQUIRED","SOCIAL PROBLEMS-TEXT","MACIONIS","5TH 13","9780205881390"

"CULF 2321","08","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CULF 2321","09","REQUIRED","SOCIAL PROBLEMS,2010 CENSUS UPDATE","EITZEN","12TH 12","9780205179077"

"CULF 2321","09","REQUIRED","SOLUTIONS TO SOCIAL PROB.FROM TOP DOWN","EITZEN","07","9780205468850"

"CULF 2321","10","REQUIRED","SOCIAL PROBLEMS-TEXT","MACIONIS","5TH 13","9780205881390"

"CULF 3330","01","REQUIRED","HISTORY OF THE WORLD IN 6 GLASSES","STANDAGE","05","9780802715524"

"CULF 3330","01","REQUIRED","WORLDS TOGETHER,WORLDS APART-VOL.TWO","TIGNOR","3RD 11","9780393934946"

"CULF 3330","02","REQUIRED","HISTORY OF THE WORLD IN 6 GLASSES","STANDAGE","05","9780802715524"

"CULF 3330","02","REQUIRED","TRADITIONS+ENCOUNTERS,BRF..V.2-TEXT","BENTLEY","3RD 14","9780077412067"

"CULF 3330","03","REQUIRED","GLOBALIZATION:VERY SHORT INTRODUCTION","STEGER","3RD 14","9780199662661"

"CULF 3330","03","REQUIRED","TRADITIONS+ENCOUNTERS,BRIEF ED.","BENTLEY","3RD 14","9780073406978"

"CULF 3330","04","REQUIRED","HISTORY OF THE WORLD IN 6 GLASSES","STANDAGE","05","9780802715524"

"CULF 3330","04","REQUIRED","WORLDS TOGETHER,WORLDS APART-VOL.TWO","TIGNOR","3RD 11","9780393934946"

"CULF 3330","05","REQUIRED","GLOBALIZATION:VERY SHORT INTRODUCTION","STEGER","3RD 14","9780199662661"

"CULF 3330","05","REQUIRED","ILLICIT:HOW SMUGGLERS,TRAFFICKERS,...","NAIM","05","9781400078844"

"CULF 3330","05","REQUIRED","TRADITIONS+ENCOUNTERS,BRIEF GLOBAL..VII","BENTLEY","2ND 10","9780077286439"

"CULF 3330","06","REQUIRED","TRAVELS OF A T-SHIRT IN GLOBAL ECONOMY","RIVOLI","2ND 10","9780470287163"

"CULF 3330","06","REQUIRED","WAYS OF THE WORLD:BRF.GLOB..V.2-W/SRCES","STRAYER","2ND 13","9780312583491"

"CULF 3330","07","REQUIRED","HISTORY OF THE WORLD IN 6 GLASSES","STANDAGE","05","9780802715524"

"CULF 3330","07","REQUIRED","TRADITIONS+ENCOUNTERS,VOL.II","BENTLEY","5TH 11","9780077368036"

"CULF 3330","08","REQUIRED","GLOBALIZATION:VERY SHORT INTRODUCTION","STEGER","3RD 14","9780199662661"

"CULF 3330","08","REQUIRED","TRADITIONS+ENCOUNTERS,BRIEF ED.","BENTLEY","3RD 14","9780073406978"

"CULF 3330","10","REQUIRED","HISTORY OF THE WORLD IN 6 GLASSES","STANDAGE","05","9780802715524"

"CULF 3330","10","REQUIRED","WAYS OF THE WORLD:BRF.GLOB..V.2-W/SRCES","STRAYER","2ND 13","9780312583491"

"CULF 3330","11","REQUIRED","HISTORY OF THE WORLD IN 6 GLASSES","STANDAGE","05","9780802715524"

"CULF 3330","11","REQUIRED","WESTERN CIVILIZATION","BUCCO","0","9781935801153"

"CULF 3331","01","REQUIRED","FEMINIST AGENDAS+DEMOCRACY IN LATIN AM.","JAQUETTE","09","9780822344490"

"CULF 3331","01","REQUIRED","GLOBAL PERSPECTIVES","KELLEHER","4TH 11","9780205779055"

"CULF 3331","02","REQUIRED","GLOBAL PERSPECTIVES","KELLEHER","4TH 11","9780205779055"

"CULF 3331","03","REQUIRED","GLOBAL PERSPECTIVES","KELLEHER","4TH 11","9780205779055"

"CULF 3331","03","REQUIRED","NETWORKED NONPROFIT","KANTER","10","9780470547977"

"CULF 3331","04","REQUIRED","GLOBALIZATION","HEBRON","2ND 11","9780205779703"

"CULF 3331","04","REQUIRED","UNDERSTANDING CONTEMPORARY LATIN AMER.","HILLMAN","4TH 11","9781588267917"

"CULF 3331","05","REQUIRED","CONCISE HISTORY OF AUSTRALIA","MACINTYRE","3RD 09","9780521735933"

"CULF 3331","06","REQUIRED","GLOBAL PERSPECTIVES","KELLEHER","4TH 11","9780205779055"

"CULF 3331","06","REQUIRED","WEATHER MAKERS","FLANNERY","05","9780802142924"

"CULF 3331","06","REQUIRED","YOU CAN PREVENT GLOBAL WARMING","LANGHOLZ","08","9780740777165"

"CULF 3331","08","REQUIRED","CARIBBEAN HISTORY","MARTIN","12","9780132208604"

"CULF 3331","08","REQUIRED","GLOBALIZATION","HEBRON","2ND 11","9780205779703"

"CULF 3331","09","REQUIRED","EUROPEAN DREAM","RIFKIN","04","9781585424351"

"CULF 3331","09","REQUIRED","EUROPEAN UNION EXPLAINED","STAAB","2ND 11","9780253223036"

"CULF 3331","09","REQUIRED","GLOBALIZATION+ITS ENEMIES","COHEN","06","9780262532976"

"CULF 3331","11","REQUIRED","FOOD FIGHT","BROWNELL","04","9780071438728"

"CULF 3331","11","REQUIRED","STATE OF THE WORLD 2011","WORLD WATCH","11","9780393338805"

"CULF 3331","12","REQUIRED","BATTLE FOR THE ARAB SPRING","NOUEIHED","12","9780300194159"

"CULF 3331","12","REQUIRED","CONTROVERSIES IN GLOBALIZATION","HAAS","2ND 13","9781608717958"

"CULF 3331","12","REQUIRED","IN THE COUNTRY OF MEN","MATAR","08","9780385340434"

"CULF 3331","12","REQUIRED","UTOPIA","TOWFIK","0","9789992142677"

"CULF 3331","12","REQUIRED","WOMAN IN THE CROSSFIRE","YAZBEK","0","9781908323125"

"DANC 1141","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"DANC 2145","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"ECON 2301","01","REQUIRED","HUMAN PROGRESS AMID RESISTANCE TO CHANG","PLUTA","'11","9781770674042"

"ECON 2301","01","REQUIRED","MARGINAL GOSPEL","PLUTA","'13","9781562266554"

"ECON 2301","01","STUDY AID","MICROECONOMICS","BARCHARTS","0","000000000000"

"ECON 2301","02","REQUIRED","HUMAN PROGRESS AMID RESISTANCE TO CHANG","PLUTA","'11","9781770674042"

"ECON 2301","02","REQUIRED","MARGINAL GOSPEL","PLUTA","'13","9781562266554"

"ECON 2301","02","STUDY AID","MICROECONOMICS","BARCHARTS","0","000000000000"

"ECON 2301","03","REQUIRED","HUMAN PROGRESS AMID RESISTANCE TO CHANG","PLUTA","'11","9781770674042"

"ECON 2301","03","REQUIRED","MARGINAL GOSPEL","PLUTA","'13","9781562266554"

"ECON 2301","03","STUDY AID","MICROECONOMICS","BARCHARTS","0","000000000000"

"ECON 2301","04","REQUIRED","PRIN.OF MICROECONOMICS","MANKIW","4TH 07","9780324319163"

"ECON 2301","04","STUDY AID","MICROECONOMICS","BARCHARTS","0","000000000000"

"ECON 2301","05","REQUIRED","PRIN.OF MICROECONOMICS","MANKIW","4TH 07","9780324319163"

"ECON 2302","01","REQUIRED","GO TO CLASS FIRST","UNKNOWN","0","000000000000"

"ECON 2302","01","STUDY AID","MACROECONOMICS","BARCHARTS","0","000000000000"

"ECON 2302","02","REQUIRED","GO TO CLASS FIRST","UNKNOWN","0","000000000000"

"ECON 2302","02","STUDY AID","MACROECONOMICS","BARCHARTS","0","000000000000"

"ECON 2302","03","REQUIRED","MACROECONOMICS","MCCONNELL","19TH 12","9780077337728"

"ECON 2302","03","RECOMMENDED","MACROECONOMICS-STD.GDE.","MCCONNELL","19TH 12","9780077337964"

"ECON 2302","03","STUDY AID","MACROECONOMICS","BARCHARTS","0","000000000000"

"ECON 2302","04","REQUIRED","MACROECONOMICS","MCCONNELL","19TH 12","9780077337728"

"ECON 2302","04","RECOMMENDED","MACROECONOMICS-STD.GDE.","MCCONNELL","19TH 12","9780077337964"

"ECON 2302","04","STUDY AID","MACROECONOMICS","BARCHARTS","0","000000000000"

"ECON 3301","01","REQUIRED","GO TO CLASS FIRST","UNKNOWN","0","000000000000"

"ECON 3333","01","REQUIRED","MONEY,BANKING+FINANCIAL MARKETS","BALL","2ND 12","9781429244091"

"ECON 3336","01","REQUIRED","INTERNATIONAL ECONOMICS","CARBAUGH","14TH 13","9781133947721"

"EDUC 1111","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"EDUC 1330","01","REQUIRED","TO TEACH:JOURNEY OF A TEACHER","AYERS","3RD 10","9780807750636"

"EDUC 1330","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"EDUC 1330","03","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"EDUC 2331","01","REQUIRED","EDUCATIONAL PSYCHOLOGY","EGGEN","9TH 13","9780132610216"

"EDUC 2331","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"EDUC 2332","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"EDUC 2337","01","REQUIRED","CHILDREN'S MATHEMATICS-W/2-CD'S","CARPENTER","99","9780325001371"

"EDUC 2337","01","REQUIRED","ELEMENTARY+MIDDLE SCHOOL MATHEMATICS","VANDEWALLE","8TH 13","9780132612265"

"EDUC 2337","01","REQUIRED","MATH WORK STATION","DILLER","10","9781571107930"

